[2025-03-09 16:08:40] Received plate: 8ขฏ, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532920.jpg
[2025-03-09 16:08:40] Received plate: กรุงเทพมนานคร, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532920.jpg
[2025-03-09 16:08:40] Received plate: 494, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532920.jpg
[2025-03-09 16:08:41] Received plate: 8ขฏ, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532921.jpg
[2025-03-09 16:08:41] Received plate: กรุงเทพมนานคร, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532921.jpg
[2025-03-09 16:08:41] Received plate: 494, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532921.jpg
[2025-03-09 16:08:41] Received plate: 8ขฏ, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532921.jpg
[2025-03-09 16:08:41] Received plate: กรุงเทพมนานคร, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532921.jpg
[2025-03-09 16:08:41] Received plate: 494, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532921.jpg
[2025-03-09 16:08:41] Received plate: 8ขฏ, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532921.jpg
[2025-03-09 16:08:41] Received plate: กรุงเทพมนานคร, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532921.jpg
[2025-03-09 16:08:41] Received plate: 494, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532921.jpg
[2025-03-09 16:08:41] Received plate: 8ขฏ, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532921.jpg
[2025-03-09 16:08:41] Received plate: กรุงเทพมนานคร, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532921.jpg
[2025-03-09 16:08:41] Received plate: 494, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532921.jpg
[2025-03-09 16:08:42] Received plate: 8ขฏ, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532922.jpg
[2025-03-09 16:08:42] Received plate: กรุงเทพมนานคร, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532922.jpg
[2025-03-09 16:08:42] Received plate: 494, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532922.jpg
[2025-03-09 16:08:42] Received plate: 8ขฏ, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532922.jpg
[2025-03-09 16:08:42] Received plate: กรุงเทพมนานคร, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532922.jpg
[2025-03-09 16:08:42] Received plate: 494, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532922.jpg
[2025-03-09 16:08:42] Received plate: 8ขฏ, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532922.jpg
[2025-03-09 16:08:42] Received plate: กรุงเทพมนานคร, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532922.jpg
[2025-03-09 16:08:42] Received plate: 494, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532922.jpg
[2025-03-09 16:08:42] Received plate: 8ขฏ, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532922.jpg
[2025-03-09 16:08:42] Received plate: กรุงเทพมหานคร, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532922.jpg
[2025-03-09 16:08:42] Received plate: 494, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532922.jpg
[2025-03-09 16:08:43] Received plate: 8ขฏฎ, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532923.jpg
[2025-03-09 16:08:43] Received plate: กรุงเทพมหานคร, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532923.jpg
[2025-03-09 16:08:43] Received plate: 494, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532923.jpg
